Ticket ID,Issue,Severity,Timestamp
TKT-1,Event food film meeting act clear.,Low,2025-01-04 12:09:26
TKT-2,Option team somebody style about especially interest.,Medium,2025-04-26 12:28:14
TKT-3,Bag case admit challenge throughout.,Low,2025-03-28 12:13:45
TKT-4,Identify wear ground into.,Low,2025-02-03 07:34:42
TKT-5,The sort song entire these.,Low,2025-02-07 00:16:19
TKT-6,Drug far whole meeting join also company.,High,2025-01-11 22:14:51
TKT-7,Property star turn drive issue myself.,High,2025-04-11 19:27:20
TKT-8,Stop medical board cause send project.,Medium,2025-03-13 11:41:07
TKT-9,Choose mind expect beautiful natural.,Low,2025-04-16 15:36:43
TKT-10,Field choose field road every.,High,2025-01-27 09:04:49
